Firstname;Surname;Gender;Total Time;Stage;Place Class;Club
Sylwia;Smigiel;F;4:29:58;Warszawa;263;Northern Runners
Kai Hugo;Sørensen;M;4:29:58;Warszawa;1680;Northern Runners
