Firstname;Surname;Gender;Total Time;Stage;Place Class;Club
Sylwia;Smigiel;F;2:01:03;Goteborgsvarvet;898;Northern Runners
Kai Hugo;Sørensen;M;1:32:30;Goteborgsvarvet;420;Northern Runners
Jon-Vidar;Schneider;M;1:43:45;Goteborgsvarvet;1370;Northern Runners
